Liq,SECTOR,"10-08-26
 11:08:02",Jul 28,SCRIP,Now,"TODAY
CHNG","FROM 
28 Jul",,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,DAILY,LAST 90 DAYS,CHARTS,5 YEAR,10 YEAR
0,INDEX,NIFTYBEES,274,NSE:NIFTYBEES,280,0.2,2.4,,0.8,0.2,,0.9,-0.4,0.5,0.2,-0.3,,,,,,,,,,,,,,,NIFTY,,
0,INDEX,SENSEXBETA,845,NSE:SENSEXBETA,870,0.3,3.0,,0.1,1.0,,-0.3,0.1,-0.1,-0.7,0.8,,,,,,,,,,,,,,,,,
0,INDEX,BANKBEES,588,NSE:BANKBEES,598,-0.1,1.7,,0.7,-0.1,,0.9,-0.2,0.1,0.6,-0.2,,,,,,,,,,,,,,,BANKNIFTY,,
0,BULLIEN,GOLDBEES,117,NSE:GOLDBEES,124,0.7,6.5,,0.1,0.5,,0.1,-0.1,1.9,2.4,0.7,,,,,,,,,,,,,,,GOLD,,
0,BULLIEN,SILVERBEES,206,NSE:SILVERBEES,220,0.0,6.8,,0.2,0.0,,0.0,0.3,2.9,0.5,2.7,,,,,,,,,,,,,,,SILVER,,
,AUTO,MOTHERSON,148,NSE:MOTHERSON,170,0.7,14.6,,-1.2,0.5,,2.4,-3.4,2.5,-0.2,9.0,,,,,,,,,,,,,,,MOTHERSON,,
,PHARMA,AUROPHARMA,1557,NSE:AUROPHARMA,1658,0.1,6.5,,2.4,-0.9,,-2.3,1.7,1.8,-1.7,4.4,,,,,,,,,,,,,,,AUROPHARMA,,
,PHARMA,FORTIS,946,NSE:FORTIS,961,0.7,1.6,,0.4,-0.5,,-0.7,-1.7,-0.9,-0.8,4.3,,,,,,,,,,,,,,,FORTIS,,
3,AUTO,SONACOMS,712,NSE:SONACOMS,824,0.7,15.7,,1.3,6.5,,1.5,0.3,3.8,-3.1,3.6,,,,,,,,,,,,,,,SONACOMS,,
,FMCG,PGEL,585,NSE:PGEL,625,-1.1,6.7,,4.5,0.4,,0.7,-0.3,-1.1,1.0,3.5,,,,,,,,,,,,,,,PGEL,,
1,IT,TCS,2398,NSE:TCS,2461,0.4,2.6,,1.8,-0.5,,3.6,-1.2,-1.9,-1.6,3.5,,,,,,,,,,,,,,,TCS,,
1,AUTO,HEROMOTOCO,5160,NSE:HEROMOTOCO,5898,3.0,14.3,,0.0,3.4,,0.5,2.1,2.4,-1.9,3.3,,,,,,,,,,,,,,,HEROMOTOCO,,
2,CEMENT,GRASIM,3116,NSE:GRASIM,3362,1.5,7.9,,-0.1,-0.4,,2.3,-4.2,2.5,-0.3,3.3,,,,,,,,,,,,,,,GRASIM,,
3,IT,LTM,4309,NSE:LTM,4790,2.8,11.2,,2.3,0.4,,6.8,-2.8,-0.7,0.5,3.3,,,,,,,,,,,,,,,LTM,,
2,FMCG,JUBLFOOD,431,NSE:JUBLFOOD,494,1.5,14.4,,2.0,0.1,,7.3,-1.0,5.0,-2.4,3.0,,,,,,,,,,,,,,,JUBLFOOD,,
1,AUTO,M&M,3280,NSE:M&M,3517,0.5,7.2,,-1.3,2.3,,-0.1,-0.5,0.8,-1.2,2.8,,,,,,,,,,,,,,,M&M,,
,IT,MPHASIS,2416,NSE:MPHASIS,2512,1.5,4.0,,-2.7,-0.6,,3.0,-1.9,2.1,-2.2,2.7,,,,,,,,,,,,,,,MPHASIS,,
2,DEFENCE,BHARATFORG,2168,NSE:BHARATFORG,2284,0.9,5.3,,0.0,-0.2,,0.0,-1.4,0.2,0.6,2.6,,,,,,,,,,,,,,,BHARATFORG,,
2,METAL,HINDALCO,940,NSE:HINDALCO,1050,-0.7,11.8,,3.0,0.7,,1.6,2.3,1.5,-1.4,2.6,,,,,,,,,,,,,,,HINDALCO,,
3,METAL,HINDZINC,528,NSE:HINDZINC,604,0.2,14.4,,2.5,0.0,,1.4,2.9,6.1,-1.2,2.2,,,,,,,,,,,,,,,HINDZINC,,
,POWER,POWERINDIA,31125,NSE:POWERINDIA,35705,9.8,14.7,,1.5,-1.0,,-0.7,0.5,1.1,-1.3,2.2,,,,,,,,,,,,,,,POWERINDIA,,
,SOLAR POWER,WAAREEENER,2690,NSE:WAAREEENER,2714,-0.2,0.9,,1.2,-3.8,,0.1,0.0,0.4,-1.0,2.1,,,,,,,,,,,,,,,WAAREEENER,,
5,DEFENCE,COCHINSHIP,1388,NSE:COCHINSHIP,1519,-0.1,9.5,,1.3,0.0,,1.3,-0.6,-0.7,4.7,2.1,,,,,,,,,,,,,,,COCHINSHIP,,
