Liq,SECTOR,"10-08-26
 09:07:51",JAN,SCRIP,TODAY,"TODAY
CHNG",CHART,CHNG,2Jan,27Jan,24 Feb,30Mar,28 Apr,26 May,30 June,28Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25
0,INDEX,NIFTYBEES,296,NSE:NIFTYBEES,280,-0.3,,-5.5,,,-2.7,-13.8,-8.2,-8.4,-8.0,-7.5,-6.9,-6.6,,-5.4,-5.8,-5.4,-5.2,-5.5,,,,,,,,,,,,
0,SENSEX,SENSEXBETA,938,NSE:SENSEXBETA,870,0.8,,-7.2,,,,,,-9.9,-10.4,-9.9,-9.6,-8.3,,-8.3,-7.8,-7.6,-8.0,-7.2,,,,,,,,,,,,
0,INDEX,BANKBEES,615,NSE:BANKBEES,599,-0.2,,-2.6,,,2.5,-15.3,-6.8,-7.1,-2.8,-4.4,-3.8,-3.8,,-2.9,-3.0,-3.0,-2.5,-2.6,,,,,,,,,,,,
0,BULLIEN,GOLDBEES,111,NSE:GOLDBEES,123,0.7,,11.2,,15.8,18.3,9.4,10.4,16.9,4.5,5.1,5.3,5.8,,5.6,5.5,7.5,10.2,11.2,,,,,,,,,,,,
0,BULLIEN,SILVERBEES,235,NSE:SILVERBEES,220,2.7,#N/A,-6.3,,26.1,6.8,-7.9,-4.1,7.0,-9.3,-12.2,-12.1,-12.0,,-12.1,-11.9,-9.2,#N/A,-6.3,,,,,,,,,,,,
,POWER,POWERINDIA,18370,NSE:POWERINDIA,32600,2.2,,77.5,2.3,-9.1,35.7,32.7,78.6,94.0,90.7,69.4,72.0,70.7,,73.9,75.0,76.1,74.1,77.5,,,,,,,,,,,,
3,AUTO,SONACOMS,482,NSE:SONACOMS,820,3.6,,70.2,0.9,1.6,10.0,-0.2,25.3,26.4,28.9,47.8,49.8,59.1,,62.1,63.3,69.5,63.8,70.2,,,,,,,,,,,,
,PHARMA,LAURUSLABS,1116,NSE:LAURUSLABS,1854,1.3,,66.1,-0.8,-11.7,-7.6,-11.1,-1.9,22.9,36.0,57.2,59.3,59.7,,62.3,64.9,65.1,64.2,66.1,,,,,,,,,,,,
,POWER,ADANIENSOL,1033,NSE:ADANIENSOL,1620,0.0,,56.7,2.0,-21.6,0.7,-9.8,39.0,44.1,44.5,58.9,60.9,59.9,,59.4,59.0,58.0,55.6,56.7,,,,,,,,,,,,
2,DEFENCE,BHARATFORG,1476,NSE:BHARATFORG,2268,2.6,,53.6,0.2,-3.9,25.9,14.1,29.1,31.4,45.7,46.9,46.5,46.8,,49.1,47.7,49.1,49.7,53.6,,,,,,,,,,,,
,IT,OFSS,7709,NSE:OFSS,11805,0.6,,53.1,0.4,4.3,-16.1,-13.1,24.7,28.5,39.2,46.8,47.9,44.7,,48.4,50.3,52.3,51.8,53.1,,,,,,,,,,,,
2,DEFENCE,SOLARINDS,12302,NSE:SOLARINDS,18650,0.8,,51.6,0.2,4.1,8.4,-2.2,24.6,50.4,51.9,48.3,46.5,46.7,,51.2,52.1,49.5,50.7,51.6,,,,,,,,,,,,
,GOODS,ABB,5203,NSE:ABB,7596,-1.8,,46.0,0.3,-8.9,16.5,14.8,40.2,31.1,35.0,38.4,40.6,40.1,,47.1,49.2,48.3,48.7,46.0,,,,,,,,,,,,
,POWER,ADANIPOWER,149,NSE:ADANIPOWER,209,0.4,,40.3,,,,0.9,50.3,64.5,50.5,39.9,40.4,40.3,,41.8,40.9,39.2,39.9,40.3,,,,,,,,,,,,
,AUTO,MOTHERSON,121,NSE:MOTHERSON,169,9.0,,40.1,1.2,-9.5,9.7,-12.8,4.4,12.7,23.2,22.8,21.2,21.7,,28.1,24.2,28.3,27.7,40.1,,,,,,,,,,,,
,,RADICO,3214,NSE:RADICO,4483,0.3,,39.5,,,,,,,22.4,35.2,36.1,35.8,,37.7,38.5,41.2,38.9,39.5,,,,,,,,,,,,
5,PHARMA,AUROPHARMA,1190,NSE:AUROPHARMA,1658,4.4,,39.3,2.0,-5.0,-2.3,9.3,19.7,22.5,32.3,30.8,33.3,32.5,,29.7,32.9,35.7,33.3,39.3,,,,,,,,,,,,
3,GOODS,BHEL,290,NSE:BHEL,403,-1.2,,39.3,3.4,-16.8,-9.5,-15.2,22.4,44.3,44.3,40.0,39.6,39.6,,40.6,40.6,41.7,40.9,39.3,,,,,,,,,,,,
,POWER,CGPOWER,649,NSE:CGPOWER,880,0.5,,35.5,0.3,-21.3,11.3,0.7,27.8,35.6,46.4,30.0,27.8,28.3,,31.2,35.7,35.8,34.9,35.5,,,,,,,,,,,,
,POWER,GVT&D,3164,NSE:GVT&D,4285,-1.9,,35.4,,,,,,,57.2,29.9,29.8,33.2,,36.5,38.1,38.4,38.7,35.4,,,,,,,,,,,,
E,GENERAL,TATATECH,647,NSE:TATATECH,873,8.9,,35.0,1.5,0.8,-11.3,-21.4,-11.7,9.4,5.6,14.4,14.9,16.2,,17.9,18.3,16.8,24.4,35.0,,,,,,,,,,,,
E,AUTO,EXIDEIND,364,NSE:EXIDEIND,489,3.1,,34.4,1.1,-12.2,-7.4,-20.9,-2.1,0.9,6.6,15.9,19.7,25.3,,21.4,26.4,28.4,30.4,34.4,,,,,,,,,,,,
,BFSI,NAM-INDIA,875,NSE:NAM-INDIA,1175,-2.1,,34.3,,,,-8.7,17.1,24.4,32.4,31.8,33.2,31.2,,32.9,36.5,38.5,36.4,34.3,,,,,,,,,,,,
T,BFSI,FEDERALBNK,267,NSE:FEDERALBNK,358,1.3,,34.0,-0.3,6.2,10.9,-2.6,8.9,8.4,23.1,33.4,34.5,32.5,,35.2,34.3,33.2,31.7,34.0,,,,,,,,,,,,
,POWER,ADANIGREEN,1023,NSE:ADANIGREEN,1367,-0.3,,33.7,1.5,-28.2,-3.8,-21.1,22.1,43.2,45.9,34.6,34.2,32.8,,36.4,35.3,34.9,34.1,33.7,,,,,,,,,,,,
2,GENERAL,ADANIENT,2251,NSE:ADANIENT,3005,-0.7,,33.5,1.2,-14.6,-3.0,-21.6,7.3,32.1,35.1,33.4,34.4,35.5,,36.0,34.4,35.3,34.5,33.5,,,,,,,,,,,,
3,BFSI,BSE,2653,NSE:BSE,3457,0.6,,30.3,0.6,4.1,3.9,1.2,36.8,66.6,45.9,30.5,33.4,33.2,,34.8,35.6,32.3,29.5,30.3,,,,,,,,,,,,
,PHARMA,TORNTPHARM,3845,NSE:TORNTPHARM,4948,-0.2,,28.7,0.7,3.2,14.9,9.8,8.9,15.7,20.9,27.2,26.9,27.2,,30.6,30.8,29.8,29.2,28.7,,,,,,,,,,,,
2,PHARMA,DIVISLAB,6424,NSE:DIVISLAB,8252,-1.2,,28.5,-0.5,-6.1,-2.3,-7.2,0.5,5.0,2.7,15.6,21.6,21.7,,29.7,30.3,30.6,28.9,28.5,,,,,,,,,,,,
2,GOODS,SIEMENS,3080,NSE:SIEMENS,3938,-0.4,,27.8,0.6,-6.2,9.5,-4.9,24.5,19.5,16.9,19.6,18.5,19.0,,26.8,29.9,28.8,28.4,27.8,,,,,,,,,,,,
T,METAL,VEDL,218,NSE:VEDL,277,0.8,,27.2,1.9,14.4,15.5,8.9,22.7,58.2,28.9,19.1,21.7,22.3,,21.4,23.3,26.6,26.0,27.2,,,,,,,,,,,,
