Liq,SECTOR,"10-08-26
 11:08:02",Jul 28,SCRIP,TODAY,"TODAY
CHNG","SERIES
CHNG",,28 Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,SERIES,LAST 90 DAYS,CHARTS,5 YEAR,10 YEAR
0,INDEX,NIFTYBEES,274,NSE:NIFTYBEES,280,0.2,2.4,,0.5,0.7,0.9,,2.2,1.8,2.3,2.4,2.2,,,,,,,,,,,,,,,NIFTY,,
0,SENSEX,SENSEXBETA,845,NSE:SENSEXBETA,870,0.3,3.0,,0.6,0.4,1.8,,1.8,2.4,#N/A,2.1,3.0,,,,,,,,,,,,,#N/A,,,,
0,INDEX,BANKBEES,588,NSE:BANKBEES,598,-0.1,1.7,,-1.7,0.6,0.6,,1.6,1.5,1.5,2.1,1.9,,,,,,,,,,,,,,,BANKNIFTY,,
0,BULLIEN,GOLDBEES,117,NSE:GOLDBEES,124,0.7,6.5,,0.6,0.2,0.7,,0.5,0.4,2.3,4.8,5.8,,,,,,,,,,,,,,,GOLD,,
0,BULLIEN,SILVERBEES,206,NSE:SILVERBEES,220,0.0,6.8,,-3.2,0.1,0.2,,0.1,0.4,3.4,3.9,6.7,,,,,,,,,,,,,,,SILVER,,
,GOODS,KAYNES,3250,NSE:KAYNES,3786,-1.8,16.5,,3.8,12.5,11.7,,17.1,19.4,19.9,18.2,18.5,,,,,,,,,,,,,,,KAYNES,,
,REALITY,KEI,4841,NSE:KEI,5641,0.4,16.5,,-10.1,0.1,-0.9,,3.8,13.6,14.1,15.3,15.6,,,,,,,,,,,,,,,KEI,,
3,AUTO,SONACOMS,712,NSE:SONACOMS,824,0.7,15.7,,14.7,1.4,7.7,,9.6,10.5,#N/A,10.8,15.1,,,,,,,,,,,,,#N/A,,SONACOMS,,
3,METAL,HINDZINC,528,NSE:HINDZINC,604,0.2,14.4,,-1.1,2.3,1.7,,3.6,6.7,13.1,11.8,14.2,,,,,,,,,,,,,,,HINDZINC,,
,AUTO,MOTHERSON,148,NSE:MOTHERSON,170,0.7,14.6,,-0.3,-1.3,-0.9,,4.3,1.1,4.5,4.1,14.1,,,,,,,,,,,,,,,MOTHERSON,,
1,METAL,NATIONALUM,336,NSE:NATIONALUM,386,1.4,14.8,,-1.2,3.0,3.9,,8.7,13.4,12.9,13.2,13.4,,,,,,,,,,,,,,,NATIONALUM,,
2,FMCG,JUBLFOOD,431,NSE:JUBLFOOD,494,1.5,14.4,,3.3,2.2,2.1,,9.0,7.9,13.1,9.7,12.9,,,,,,,,,,,,,,,JUBLFOOD,,
,FMCG,GODFRYPHLP,2038,NSE:GODFRYPHLP,2295,0.4,12.6,,-6.3,1.8,4.8,,10.2,14.8,14.2,12.8,12.2,,,,,,,,,,,,,,,GODFRYPHLP,,
2,METAL,HINDALCO,940,NSE:HINDALCO,1050,-0.7,11.8,,-2.0,2.6,3.2,,5.3,8.3,10.2,9.1,12.1,,,,,,,,,,,,,,,HINDALCO,,
2,AUTO,ASHOKLEY,159,NSE:ASHOKLEY,178,0.5,12.5,,0.4,-0.4,0.2,,10.1,9.4,11.0,12.0,11.7,,,,,,,,,,,,,,,ASHOKLEY,,
1,AUTO,TVSMOTOR,3980,NSE:TVSMOTOR,4445,0.1,11.7,,14.6,1.9,5.7,,9.2,9.5,11.3,10.6,11.6,,,,,,,,,,,,,,,TVSMOTOR,,
2,PHARMA,DIVISLAB,7426,NSE:DIVISLAB,8299,0.2,11.8,,12.5,5.2,5.3,,12.2,12.7,#N/A,11.5,11.1,,,,,,,,,,,,,#N/A,,DIVISLAB,,
1,AUTO,HEROMOTOCO,5160,NSE:HEROMOTOCO,5898,3.0,14.3,,7.5,-0.1,3.2,,4.9,8.0,10.1,8.1,11.1,,,,,,,,,,,,,,,HEROMOTOCO,,
,AUTO,UNOMINDA,1165,NSE:UNOMINDA,1291,0.4,10.8,,6.5,0.3,0.6,,3.4,5.0,7.6,8.5,10.3,,,,,,,,,,,,,,,UNOMINDA,,
1,DEFENCE,MAZDOCK,2293,NSE:MAZDOCK,2512,0.0,9.6,,-7.8,0.7,1.4,,4.0,4.2,#N/A,10.4,10.1,,,,,,,,,,,,,#N/A,,MAZDOCK,,
3,BFSI,PAYTM,1310,NSE:PAYTM,1526,6.1,16.5,,14.0,1.8,1.6,,7.7,7.2,9.3,10.3,10.0,,,,,,,,,,,,,,,PAYTM,,
5,AUTO,HYUNDAI,2004,NSE:HYUNDAI,2244,2.0,12.0,,5.2,-0.6,1.8,,10.1,10.8,10.0,10.3,9.6,,,,,,,,,,,,,,,HYUNDAI,,
5,DEFENCE,COCHINSHIP,1388,NSE:COCHINSHIP,1519,-0.1,9.5,,-8.3,0.9,1.2,,3.9,3.2,2.3,7.4,9.6,,,,,,,,,,,,,,,COCHINSHIP,,
2,BFSI,UNIONBANK,168,NSE:UNIONBANK,184,-0.1,9.5,,-2.8,2.0,1.8,,3.6,3.4,4.3,8.2,9.4,,,,,,,,,,,,,,,UNIONBANK,,
,BFSI,JIOFIN,238,NSE:JIOFIN,257,0.2,8.4,,0.3,4.7,3.9,,10.2,11.4,10.3,11.2,8.5,,,,,,,,,,,,,,,JIOFIN,,
3,IT,LTM,4309,NSE:LTM,4790,2.8,11.2,,21.6,2.3,3.0,,8.1,5.8,5.1,5.1,8.5,,,,,,,,,,,,,,,LTM,,
0,BFSI,SBIN,1014,NSE:SBIN,1089,-0.8,7.3,,-1.5,0.0,0.9,,2.0,1.9,4.0,7.0,8.1,,,,,,,,,,,,,,,SBIN,,
,FMCG,PGEL,585,NSE:PGEL,625,-1.1,6.7,,9.5,4.6,5.1,,5.6,5.3,3.5,4.1,7.8,,,,,,,,,,,,,,,PGEL,,
,AUTO,FORCEMOT,17185,NSE:FORCEMOT,18593,0.4,8.2,,-7.6,0.9,2.5,,7.2,6.7,7.9,8.8,7.7,,,,,,,,,,,,,,,FORCEMOT,,
